MORPHEMES,MORPHS,ZEROFILLED,RAW
SAAPAS ESS,saapas.sa,saapØasØ.sa,s a a p {ØppØpØØppp} a {sØhsØsshØh} {ØaaØaØØaØØ} {nrs} {aä}
SAAPAS ESS,saappaha.na,saappaha.na,s a a p {ØppØpØØppp} a {sØhsØsshØh} {ØaaØaØØaØØ} {nrs} {aä}
SAAPAS ILLseen,saappaa.seen,saappaØa.seen,s a a p {ØppØpØØppp} a {sØhsØsshØh} {ØaaØaØØaØØ} s e {Øe} n
SAAPAS ILLseen,saappaha.sen,saappaha.seØn,s a a p {ØppØpØØppp} a {sØhsØsshØh} {ØaaØaØØaØØ} s e {Øe} n
SAAPAS PL INE,saappa.i.ssa,saappaØØ.i.ssa,s a a p {ØppØpØØppp} a {sØhsØsshØh} {ØaaØaØØaØØ} {ij} s s {aä}
SAAPAS PL INE,saappah.i.ssa,saappahØ.i.ssa,s a a p {ØppØpØØppp} a {sØhsØsshØh} {ØaaØaØØaØØ} {ij} s s {aä}
SAAPAS PL GENiden,saappa.i.den,saappaØØ.i.dØen,s a a p {ØppØpØØppp} a {sØhsØsshØh} {ØaaØaØØaØØ} {ij} {dt} {Øt} e n
SAAPAS PL GENiden,saappa.i.tten,saappaØØ.i.tten,s a a p {ØppØpØØppp} a {sØhsØsshØh} {ØaaØaØØaØØ} {ij} {dt} {Øt} e n
SAAPAS PL GENien,saappah.i.en,saappahØ.i.en,s a a p {ØppØpØØppp} a {sØhsØsshØh} {ØaaØaØØaØØ} {ij} e n
SAAPAS PLGENten,saapas.ten,saapØasØ.ten,s a a p {ØppØpØØppp} a {sØhsØsshØh} {ØaaØaØØaØØ} t e n
SAAPAS PL PTV,saappa.i.ta,saappaØØ.i.ta,s a a p {ØppØpØØppp} a {sØhsØsshØh} {ØaaØaØØaØØ} {ij} {Øt} {aä}
SAAPAS PL PTV,saappah.i.a,saappahØ.i.Øa,s a a p {ØppØpØØppp} a {sØhsØsshØh} {ØaaØaØØaØØ} {ij} {Øt} {aä}
SAAPAS PL ILL,saappa.i.hin,saappaØØ.i.hin,s a a p {ØppØpØØppp} a {sØhsØsshØh} {ØaaØaØØaØØ} {ij} {Øh} {V} n
SAAPAS PL ILLsiin,saappa.i.siin,saappaØØ.i.siin,s a a p {ØppØpØØppp} a {sØhsØsshØh} {ØaaØaØØaØØ} {ij} s i {iØ} n
SAAPAS PL ILLsiin,saappah.i.sin,saappahØ.i.siØn,s a a p {ØppØpØØppp} a {sØhsØsshØh} {ØaaØaØØaØØ} {ij} s i {iØ} n
KIRVES,kirves,kirvesØ,k i r v e {sØhsØsshØh} {ØeeØeØØeØØ} 
KIRVES GEN,kirvee.n,kirveØe.n,k i r v e {sØhsØsshØh} {ØeeØeØØeØØ} n
KIRVES GEN,kirvehe.n,kirvehe.n,k i r v e {sØhsØsshØh} {ØeeØeØØeØØ} n
KIRVES PTV,kirves.tä,kirvesØ.tä,k i r v e {sØhsØsshØh} {ØeeØeØØeØØ} {Øt} {aä}
KIRVES ESS,kirvee.nä,kirveØe.nä,k i r v e {sØhsØsshØh} {ØeeØeØØeØØ} {nrs} {aä}
KIRVES ESS,kirves.nä,kirvesØ.nä,k i r v e {sØhsØsshØh} {ØeeØeØØeØØ} {nrs} {aä}
KIRVES ESS,kirves.sä,kirvesØ.sä,k i r v e {sØhsØsshØh} {ØeeØeØØeØØ} {nrs} {aä}
KIRVES ESS,kirvehe.nä,kirvehe.nä,k i r v e {sØhsØsshØh} {ØeeØeØØeØØ} {nrs} {aä}
KIRVES ILLseen,kirvee.seen,kirveØe.seen,k i r v e {sØhsØsshØh} {ØeeØeØØeØØ} s e {Øe} n
KIRVES ILLseen,kirvehe.sen,kirvehe.seØn,k i r v e {sØhsØsshØh} {ØeeØeØØeØØ} s e {Øe} n
KIRVES PL INE,kirve.i.ssä,kirveØØ.i.ssä,k i r v e {sØhsØsshØh} {ØeeØeØØeØØ} {ij} s s {aä}
KIRVES PL INE,kirveh.i.ssä,kirvehØ.i.ssä,k i r v e {sØhsØsshØh} {ØeeØeØØeØØ} {ij} s s {aä}
KIRVES PL GENiden,kirve.i.den,kirveØØ.i.dØen,k i r v e {sØhsØsshØh} {ØeeØeØØeØØ} {ij} {dt} {Øt} e n
KIRVES PL GENiden,kirve.i.tten,kirveØØ.i.tten,k i r v e {sØhsØsshØh} {ØeeØeØØeØØ} {ij} {dt} {Øt} e n
KIRVES PL GENien,kirveh.i.en,kirvehØ.i.en,k i r v e {sØhsØsshØh} {ØeeØeØØeØØ} {ij} e n
KIRVES PLGENten,kirves.ten,kirvesØ.ten,k i r v e {sØhsØsshØh} {ØeeØeØØeØØ} t e n
KIRVES PL PTV,kirve.i.tä,kirveØØ.i.tä,k i r v e {sØhsØsshØh} {ØeeØeØØeØØ} {ij} {Øt} {aä}
KIRVES PL PTV,kirveh.i.ä,kirvehØ.i.Øä,k i r v e {sØhsØsshØh} {ØeeØeØØeØØ} {ij} {Øt} {aä}
KIRVES PL ILL,kirve.i.hin,kirveØØ.i.hin,k i r v e {sØhsØsshØh} {ØeeØeØØeØØ} {ij} {Øh} {V} n
KIRVES PL ILLsiin,kirveh.i.sin,kirvehØ.i.siØn,k i r v e {sØhsØsshØh} {ØeeØeØØeØØ} {ij} s i {iØ} n
KAURIS,kauris,kaurisØ,k a u r i {sØhsØsshØh} {ØiiØiØØiØØ} 
KAURIS GEN,kaurii.n,kauriØi.n,k a u r i {sØhsØsshØh} {ØiiØiØØiØØ} n
KAURIS GEN,kaurihi.n,kaurihi.n,k a u r i {sØhsØsshØh} {ØiiØiØØiØØ} n
KAURIS PTV,kauris.ta,kaurisØ.ta,k a u r i {sØhsØsshØh} {ØiiØiØØiØØ} {Øt} {aä}
KAURIS ESS,kaurii.na,kauriØi.na,k a u r i {sØhsØsshØh} {ØiiØiØØiØØ} {nrs} {aä}
KAURIS ESS,kauris.na,kaurisØ.na,k a u r i {sØhsØsshØh} {ØiiØiØØiØØ} {nrs} {aä}
KAURIS ESS,kauris.sa,kaurisØ.sa,k a u r i {sØhsØsshØh} {ØiiØiØØiØØ} {nrs} {aä}
KAURIS ESS,kaurihi.na,kaurihi.na,k a u r i {sØhsØsshØh} {ØiiØiØØiØØ} {nrs} {aä}
KAURIS ILLseen,kaurii.seen,kauriØi.seen,k a u r i {sØhsØsshØh} {ØiiØiØØiØØ} s e {Øe} n
KAURIS ILLseen,kaurihi.sen,kaurihi.seØn,k a u r i {sØhsØsshØh} {ØiiØiØØiØØ} s e {Øe} n
KAURIS PL INE,kauri.i.ssa,kauriØØ.i.ssa,k a u r i {sØhsØsshØh} {ØiiØiØØiØØ} {ij} s s {aä}
KAURIS PL INE,kaurih.i.ssa,kaurihØ.i.ssa,k a u r i {sØhsØsshØh} {ØiiØiØØiØØ} {ij} s s {aä}
KAURIS PL GENiden,kauri.i.den,kauriØØ.i.dØen,k a u r i {sØhsØsshØh} {ØiiØiØØiØØ} {ij} {dt} {Øt} e n
KAURIS PL GENiden,kauri.i.tten,kauriØØ.i.tten,k a u r i {sØhsØsshØh} {ØiiØiØØiØØ} {ij} {dt} {Øt} e n
KAURIS PL GENien,kaurih.i.en,kaurihØ.i.en,k a u r i {sØhsØsshØh} {ØiiØiØØiØØ} {ij} e n
KAURIS PLGENten,kauris.ten,kaurisØ.ten,k a u r i {sØhsØsshØh} {ØiiØiØØiØØ} t e n
KAURIS PL PTV,kauri.i.ta,kauriØØ.i.ta,k a u r i {sØhsØsshØh} {ØiiØiØØiØØ} {ij} {Øt} {aä}
KAURIS PL PTV,kaurih.i.a,kaurihØ.i.Øa,k a u r i {sØhsØsshØh} {ØiiØiØØiØØ} {ij} {Øt} {aä}
KAURIS PL ILL,kauri.i.hin,kauriØØ.i.hin,k a u r i {sØhsØsshØh} {ØiiØiØØiØØ} {ij} {Øh} {V} n
KAURIS PL ILLsiin,kauri.i.siin,kauriØØ.i.siin,k a u r i {sØhsØsshØh} {ØiiØiØØiØØ} {ij} s i {iØ} n
KAURIS PL ILLsiin,kaurih.i.sin,kaurihØ.i.siØn,k a u r i {sØhsØsshØh} {ØiiØiØØiØØ} {ij} s i {iØ} n
KAUNIS,kaunis,kaunisØ,k a u n {iiiiiiiiieie} {sØhsØsshØØhh} {ØiiØiØØiØØØØ} 
KAUNIS GEN,kaunii.n,kauniØi.n,k a u n {iiiiiiiiieie} {sØhsØsshØØhh} {ØiiØiØØiØØØØ} n
KAUNIS GEN,kaunihi.n,kaunihi.n,k a u n {iiiiiiiiieie} {sØhsØsshØØhh} {ØiiØiØØiØØØØ} n
KAUNIS PTV,kaunis.ta,kaunisØ.ta,k a u n {iiiiiiiiieie} {sØhsØsshØØhh} {ØiiØiØØiØØØØ} {Øt} {aä}
KAUNIS ESS,kaunii.na,kauniØi.na,k a u n {iiiiiiiiieie} {sØhsØsshØØhh} {ØiiØiØØiØØØØ} {nrs} {aä}
KAUNIS ESS,kaunis.na,kaunisØ.na,k a u n {iiiiiiiiieie} {sØhsØsshØØhh} {ØiiØiØØiØØØØ} {nrs} {aä}
KAUNIS ESS,kaunis.sa,kaunisØ.sa,k a u n {iiiiiiiiieie} {sØhsØsshØØhh} {ØiiØiØØiØØØØ} {nrs} {aä}
KAUNIS ESS,kaunihi.na,kaunihi.na,k a u n {iiiiiiiiieie} {sØhsØsshØØhh} {ØiiØiØØiØØØØ} {nrs} {aä}
KAUNIS ILLseen,kaunii.seen,kauniØi.seen,k a u n {iiiiiiiiieie} {sØhsØsshØØhh} {ØiiØiØØiØØØØ} s e {Øe} n
KAUNIS ILLseen,kaunihi.sen,kaunihi.seØn,k a u n {iiiiiiiiieie} {sØhsØsshØØhh} {ØiiØiØØiØØØØ} s e {Øe} n
KAUNIS PL INE,kauni.i.ssa,kauniØØ.i.ssa,k a u n {iiiiiiiiieie} {sØhsØsshØØhh} {ØiiØiØØiØØØØ} {ij} s s {aä}
KAUNIS PL INE,kaunih.i.ssa,kaunihØ.i.ssa,k a u n {iiiiiiiiieie} {sØhsØsshØØhh} {ØiiØiØØiØØØØ} {ij} s s {aä}
KAUNIS PL INE,kauneh.i.ssa,kaunehØ.i.ssa,k a u n {iiiiiiiiieie} {sØhsØsshØØhh} {ØiiØiØØiØØØØ} {ij} s s {aä}
KAUNIS PL INE,kaune.i.ssa,kauneØØ.i.ssa,k a u n {iiiiiiiiieie} {sØhsØsshØØhh} {ØiiØiØØiØØØØ} {ij} s s {aä}
KAUNIS PL GENiden,kauni.i.den,kauniØØ.i.dØen,k a u n {iiiiiiiiieie} {sØhsØsshØØhh} {ØiiØiØØiØØØØ} {ij} {dt} {Øt} e n
KAUNIS PL GENiden,kauni.i.tten,kauniØØ.i.tten,k a u n {iiiiiiiiieie} {sØhsØsshØØhh} {ØiiØiØØiØØØØ} {ij} {dt} {Øt} e n
KAUNIS PL GENiden,kaune.i.den,kauneØØ.i.dØen,k a u n {iiiiiiiiieie} {sØhsØsshØØhh} {ØiiØiØØiØØØØ} {ij} {dt} {Øt} e n
KAUNIS PL GENiden,kaune.i.tten,kauneØØ.i.tten,k a u n {iiiiiiiiieie} {sØhsØsshØØhh} {ØiiØiØØiØØØØ} {ij} {dt} {Øt} e n
KAUNIS PL GENien,kaunih.i.en,kaunihØ.i.en,k a u n {iiiiiiiiieie} {sØhsØsshØØhh} {ØiiØiØØiØØØØ} {ij} e n
KAUNIS PL GENien,kauneh.i.en,kaunehØ.i.en,k a u n {iiiiiiiiieie} {sØhsØsshØØhh} {ØiiØiØØiØØØØ} {ij} e n
KAUNIS PLGENten,kaunis.ten,kaunisØ.ten,k a u n {iiiiiiiiieie} {sØhsØsshØØhh} {ØiiØiØØiØØØØ} t e n
KAUNIS PL PTV,kauni.i.ta,kauniØØ.i.ta,k a u n {iiiiiiiiieie} {sØhsØsshØØhh} {ØiiØiØØiØØØØ} {ij} {Øt} {aä}
KAUNIS PL PTV,kaune.i.ta,kauneØØ.i.ta,k a u n {iiiiiiiiieie} {sØhsØsshØØhh} {ØiiØiØØiØØØØ} {ij} {Øt} {aä}
KAUNIS PL PTV,kaunih.i.a,kaunihØ.i.Øa,k a u n {iiiiiiiiieie} {sØhsØsshØØhh} {ØiiØiØØiØØØØ} {ij} {Øt} {aä}
KAUNIS PL PTV,kauneh.i.a,kaunehØ.i.Øa,k a u n {iiiiiiiiieie} {sØhsØsshØØhh} {ØiiØiØØiØØØØ} {ij} {Øt} {aä}
KAUNIS PL ILL,kauni.i.hin,kauniØØ.i.hin,k a u n {iiiiiiiiieie} {sØhsØsshØØhh} {ØiiØiØØiØØØØ} {ij} {Øh} {V} n
KAUNIS PL ILL,kaune.i.hin,kauneØØ.i.hin,k a u n {iiiiiiiiieie} {sØhsØsshØØhh} {ØiiØiØØiØØØØ} {ij} {Øh} {V} n
KAUNIS PL ILLsiin,kauni.i.siin,kauniØØ.i.siin,k a u n {iiiiiiiiieie} {sØhsØsshØØhh} {ØiiØiØØiØØØØ} {ij} s i {iØ} n
KAUNIS PL ILLsiin,kaune.i.siin,kauneØØ.i.siin,k a u n {iiiiiiiiieie} {sØhsØsshØØhh} {ØiiØiØØiØØØØ} {ij} s i {iØ} n
KAUNIS PL ILLsiin,kaunih.i.sin,kaunihØ.i.siØn,k a u n {iiiiiiiiieie} {sØhsØsshØØhh} {ØiiØiØØiØØØØ} {ij} s i {iØ} n
KAUNIS PL ILLsiin,kauneh.i.sin,kaunehØ.i.siØn,k a u n {iiiiiiiiieie} {sØhsØsshØØhh} {ØiiØiØØiØØØØ} {ij} s i {iØ} n
KOIRAS,koiras,koiraØsØ,k o i r a {ØkØkØØk} s {ØeØeØØØ} 
KOIRAS GEN,koirakse.n,koirakse.n,k o i r a {ØkØkØØk} s {ØeØeØØØ} n
KOIRAS PTV,koiras.ta,koiraØsØ.ta,k o i r a {ØkØkØØk} s {ØeØeØØØ} {Øt} {aä}
KOIRAS ESS,koirakse.na,koirakse.na,k o i r a {ØkØkØØk} s {ØeØeØØØ} {nrs} {aä}
KOIRAS ESS,koiras.na,koiraØsØ.na,k o i r a {ØkØkØØk} s {ØeØeØØØ} {nrs} {aä}
KOIRAS ESS,koiras.sa,koiraØsØ.sa,k o i r a {ØkØkØØk} s {ØeØeØØØ} {nrs} {aä}
KOIRAS ILL,koirakse.en,koirakse.Øen,k o i r a {ØkØkØØk} s {ØeØeØØØ} {Øh} {V} n
KOIRAS ILL,koirakse.hen,koirakse.hen,k o i r a {ØkØkØØk} s {ØeØeØØØ} {Øh} {V} n
KOIRAS PL INE,koiraks.i.ssa,koiraksØ.i.ssa,k o i r a {ØkØkØØk} s {ØeØeØØØ} {ij} s s {aä}
KOIRAS PL GENien,koiraks.i.en,koiraksØ.i.en,k o i r a {ØkØkØØk} s {ØeØeØØØ} {ij} e n
KOIRAS PLGENten,koiras.ten,koiraØsØ.ten,k o i r a {ØkØkØØk} s {ØeØeØØØ} t e n
KOIRAS PL PTV,koiraks.i.a,koiraksØ.i.Øa,k o i r a {ØkØkØØk} s {ØeØeØØØ} {ij} {Øt} {aä}
KOIRAS PL ILL,koiraks.i.in,koiraksØ.i.Øin,k o i r a {ØkØkØØk} s {ØeØeØØØ} {ij} {Øh} {V} n
KOIRAS PL ILL,koiraks.i.hin,koiraksØ.i.hin,k o i r a {ØkØkØØk} s {ØeØeØØØ} {ij} {Øh} {V} n
Koiras,koiras,koirasØ,k o i r a {sØhsØhØh} {ØaaØaaØØ} 
Koiras GEN,koiraa.n,koiraØa.n,k o i r a {sØhsØhØh} {ØaaØaaØØ} n
Koiras GEN,koiraha.n,koiraha.n,k o i r a {sØhsØhØh} {ØaaØaaØØ} n
Koiras PTV,koiras.ta,koirasØ.ta,k o i r a {sØhsØhØh} {ØaaØaaØØ} {Øt} {aä}
Koiras ESS,koiraa.na,koiraØa.na,k o i r a {sØhsØhØh} {ØaaØaaØØ} {nrs} {aä}
Koiras ESS,koiraha.na,koiraha.na,k o i r a {sØhsØhØh} {ØaaØaaØØ} {nrs} {aä}
Koiras ILLseen,koiraa.seen,koiraØa.seen,k o i r a {sØhsØhØh} {ØaaØaaØØ} s e {Øe} n
Koiras ILLseen,koiraha.sen,koiraha.seØn,k o i r a {sØhsØhØh} {ØaaØaaØØ} s e {Øe} n
Koiras PL INE,koira.i.ssa,koiraØØ.i.ssa,k o i r a {sØhsØhØh} {ØaaØaaØØ} {ij} s s {aä}
Koiras PL INE,koirah.i.ssa,koirahØ.i.ssa,k o i r a {sØhsØhØh} {ØaaØaaØØ} {ij} s s {aä}
Koiras PL GENiden,koira.i.den,koiraØØ.i.dØen,k o i r a {sØhsØhØh} {ØaaØaaØØ} {ij} {dt} {Øt} e n
Koiras PL GENiden,koira.i.tten,koiraØØ.i.tten,k o i r a {sØhsØhØh} {ØaaØaaØØ} {ij} {dt} {Øt} e n
Koiras PL GENien,koirah.i.en,koirahØ.i.en,k o i r a {sØhsØhØh} {ØaaØaaØØ} {ij} e n
Koiras PL PTV,koira.i.ta,koiraØØ.i.ta,k o i r a {sØhsØhØh} {ØaaØaaØØ} {ij} {Øt} {aä}
Koiras PL PTV,koirah.i.a,koirahØ.i.Øa,k o i r a {sØhsØhØh} {ØaaØaaØØ} {ij} {Øt} {aä}
Koiras PL ILL,koira.i.hin,koiraØØ.i.hin,k o i r a {sØhsØhØh} {ØaaØaaØØ} {ij} {Øh} {V} n
Koiras PL ILLsiin,koira.i.siin,koiraØØ.i.siin,k o i r a {sØhsØhØh} {ØaaØaaØØ} {ij} s i {iØ} n
Koiras PL ILLsiin,koirah.i.sin,koirahØ.i.siØn,k o i r a {sØhsØhØh} {ØaaØaaØØ} {ij} s i {iØ} n
UROS,uros,urosØ,u r o {sØhsØhØh} {ØooØooØØ} 
UROS GEN,uroo.n,uroØo.n,u r o {sØhsØhØh} {ØooØooØØ} n
UROS GEN,uroho.n,uroho.n,u r o {sØhsØhØh} {ØooØooØØ} n
UROS PTV,uros.ta,urosØ.ta,u r o {sØhsØhØh} {ØooØooØØ} {Øt} {aä}
UROS ESS,uroo.na,uroØo.na,u r o {sØhsØhØh} {ØooØooØØ} {nrs} {aä}
UROS ESS,uroho.na,uroho.na,u r o {sØhsØhØh} {ØooØooØØ} {nrs} {aä}
UROS ILLseen,uroo.seen,uroØo.seen,u r o {sØhsØhØh} {ØooØooØØ} s e {Øe} n
UROS ILLseen,uroho.sen,uroho.seØn,u r o {sØhsØhØh} {ØooØooØØ} s e {Øe} n
UROS PL INE,uro.i.ssa,uroØØ.i.ssa,u r o {sØhsØhØh} {ØooØooØØ} {ij} s s {aä}
UROS PL INE,uroh.i.ssa,urohØ.i.ssa,u r o {sØhsØhØh} {ØooØooØØ} {ij} s s {aä}
UROS PL GENiden,uro.i.den,uroØØ.i.dØen,u r o {sØhsØhØh} {ØooØooØØ} {ij} {dt} {Øt} e n
UROS PL GENiden,uro.i.tten,uroØØ.i.tten,u r o {sØhsØhØh} {ØooØooØØ} {ij} {dt} {Øt} e n
UROS PL GENiden,uroh.i.tten,urohØ.i.tten,u r o {sØhsØhØh} {ØooØooØØ} {ij} {dt} {Øt} e n
UROS PL GENien,uroh.i.en,urohØ.i.en,u r o {sØhsØhØh} {ØooØooØØ} {ij} e n
UROS PLGENten,uros.ten,urosØ.ten,u r o {sØhsØhØh} {ØooØooØØ} t e n
UROS PL PTV,uro.i.ta,uroØØ.i.ta,u r o {sØhsØhØh} {ØooØooØØ} {ij} {Øt} {aä}
UROS PL PTV,uroh.i.a,urohØ.i.Øa,u r o {sØhsØhØh} {ØooØooØØ} {ij} {Øt} {aä}
UROS PL ILL,uro.i.hin,uroØØ.i.hin,u r o {sØhsØhØh} {ØooØooØØ} {ij} {Øh} {V} n
UROS PL ILLsiin,uro.i.siin,uroØØ.i.siin,u r o {sØhsØhØh} {ØooØooØØ} {ij} s i {iØ} n
UROS PL ILLsiin,uroh.i.sin,urohØ.i.siØn,u r o {sØhsØhØh} {ØooØooØØ} {ij} s i {iØ} n
MIES,mies,miesØ,m i e {shshssh} {ØeØeØØØ} 
MIES GEN,miehe.n,miehe.n,m i e {shshssh} {ØeØeØØØ} n
MIES PTV,mies.tä,miesØ.tä,m i e {shshssh} {ØeØeØØØ} {Øt} {aä}
MIES ESS,miehe.nä,miehe.nä,m i e {shshssh} {ØeØeØØØ} {nrs} {aä}
MIES ESS,mies.nä,miesØ.nä,m i e {shshssh} {ØeØeØØØ} {nrs} {aä}
MIES ESS,mies.sä,miesØ.sä,m i e {shshssh} {ØeØeØØØ} {nrs} {aä}
MIES ILL,miehe.en,miehe.Øen,m i e {shshssh} {ØeØeØØØ} {Øh} {V} n
MIES PL INE,mieh.i.ssä,miehØ.i.ssä,m i e {shshssh} {ØeØeØØØ} {ij} s s {aä}
MIES PL GENien,mieh.i.en,miehØ.i.en,m i e {shshssh} {ØeØeØØØ} {ij} e n
MIES PLGENten,mies.ten,miesØ.ten,m i e {shshssh} {ØeØeØØØ} t e n
MIES PL PTV,mieh.i.ä,miehØ.i.Øä,m i e {shshssh} {ØeØeØØØ} {ij} {Øt} {aä}
MIES PL ILL,mieh.i.in,miehØ.i.Øin,m i e {shshssh} {ØeØeØØØ} {ij} {Øh} {V} n
AIRUT,airutØ,airutØ,a i r u {tØtØØh} {ØeØeØØ} 
AIRUT GEN,airuØe.n,airuØe.n,a i r u {tØtØØh} {ØeØeØØ} n
AIRUT PTV,airutØ.ta,airutØ.ta,a i r u {tØtØØh} {ØeØeØØ} {Øt} {aä}
AIRUT ESS,airue.na,airuØe.na,a i r u {tØtØØh} {ØeØeØØ} {nrs} {aä}
AIRUT ILL,airue.en,airuØe.Øen,a i r u {tØtØØh} {ØeØeØØ} {Øh} {V} n
AIRUT ILL,airue.hen,airuØe.hen,a i r u {tØtØØh} {ØeØeØØ} {Øh} {V} n
AIRUT PL INE,airu.i.ssa,airuØØ.i.ssa,a i r u {tØtØØh} {ØeØeØØ} {ij} s s {aä}
AIRUT PL INE,airuh.i.ssa,airuhØ.i.ssa,a i r u {tØtØØh} {ØeØeØØ} {ij} s s {aä}
AIRUT PL GENiden,airu.i.den,airuØØ.i.dØen,a i r u {tØtØØh} {ØeØeØØ} {ij} {dt} {Øt} e n
AIRUT PL GENiden,airu.i.tten,airuØØ.i.tten,a i r u {tØtØØh} {ØeØeØØ} {ij} {dt} {Øt} e n
AIRUT PL GENiden,airuh.i.tten,airuhØ.i.tten,a i r u {tØtØØh} {ØeØeØØ} {ij} {dt} {Øt} e n
AIRUT PL GENien,airuh.i.en,airuhØ.i.en,a i r u {tØtØØh} {ØeØeØØ} {ij} e n
AIRUT PLGENten,airut.ten,airutØ.ten,a i r u {tØtØØh} {ØeØeØØ} t e n
AIRUT PL PTV,airu.i.ta,airuØØ.i.ta,a i r u {tØtØØh} {ØeØeØØ} {ij} {Øt} {aä}
AIRUT PL PTV,airuh.i.a,airuhØ.i.Øa,a i r u {tØtØØh} {ØeØeØØ} {ij} {Øt} {aä}
AIRUT PL ILL,airu.i.hin,airuØØ.i.hin,a i r u {tØtØØh} {ØeØeØØ} {ij} {Øh} {V} n
AIRUT PL ILLsiin,airu.i.siin,airuØØ.i.siin,a i r u {tØtØØh} {ØeØeØØ} {ij} s i {iØ} n
AIRUT PL ILLsiin,airuh.i.sin,airuhØ.i.siØn,a i r u {tØtØØh} {ØeØeØØ} {ij} s i {iØ} n
ÄIDYT,äidytØ,äidytØ,ä i {dtdttt} y {tØtØØh} {ØeØeØØ} 
ÄIDYT GEN,äityØe.n,äityØe.n,ä i {dtdttt} y {tØtØØh} {ØeØeØØ} n
ÄIDYT PTV,äidytØ.tä,äidytØ.tä,ä i {dtdttt} y {tØtØØh} {ØeØeØØ} {Øt} {aä}
ÄIDYT ESS,äitye.nä,äityØe.nä,ä i {dtdttt} y {tØtØØh} {ØeØeØØ} {nrs} {aä}
ÄIDYT ILL,äitye.en,äityØe.Øen,ä i {dtdttt} y {tØtØØh} {ØeØeØØ} {Øh} {V} n
ÄIDYT ILL,äitye.hen,äityØe.hen,ä i {dtdttt} y {tØtØØh} {ØeØeØØ} {Øh} {V} n
ÄIDYT PL INE,äity.i.ssä,äityØØ.i.ssä,ä i {dtdttt} y {tØtØØh} {ØeØeØØ} {ij} s s {aä}
ÄIDYT PL INE,äityh.i.ssä,äityhØ.i.ssä,ä i {dtdttt} y {tØtØØh} {ØeØeØØ} {ij} s s {aä}
ÄIDYT PL GENiden,äity.i.den,äityØØ.i.dØen,ä i {dtdttt} y {tØtØØh} {ØeØeØØ} {ij} {dt} {Øt} e n
ÄIDYT PL GENiden,äity.i.tten,äityØØ.i.tten,ä i {dtdttt} y {tØtØØh} {ØeØeØØ} {ij} {dt} {Øt} e n
ÄIDYT PL GENiden,äityh.i.tten,äityhØ.i.tten,ä i {dtdttt} y {tØtØØh} {ØeØeØØ} {ij} {dt} {Øt} e n
ÄIDYT PL GENien,äityh.i.en,äityhØ.i.en,ä i {dtdttt} y {tØtØØh} {ØeØeØØ} {ij} e n
ÄIDYT PLGENten,äidyt.ten,äidytØ.ten,ä i {dtdttt} y {tØtØØh} {ØeØeØØ} t e n
ÄIDYT PL PTV,äity.i.tä,äityØØ.i.tä,ä i {dtdttt} y {tØtØØh} {ØeØeØØ} {ij} {Øt} {aä}
ÄIDYT PL PTV,äityh.i.ä,äityhØ.i.Øä,ä i {dtdttt} y {tØtØØh} {ØeØeØØ} {ij} {Øt} {aä}
ÄIDYT PL ILL,äity.i.hin,äityØØ.i.hin,ä i {dtdttt} y {tØtØØh} {ØeØeØØ} {ij} {Øh} {V} n
ÄIDYT PL ILLsiin,äity.i.siin,äityØØ.i.siin,ä i {dtdttt} y {tØtØØh} {ØeØeØØ} {ij} s i {iØ} n
ÄIDYT PL ILLsiin,äityh.i.sin,äityhØ.i.siØn,ä i {dtdttt} y {tØtØØh} {ØeØeØØ} {ij} s i {iØ} n
KEVÄT,kevät,kevätØ,k e v ä {tØhtØnhØh} {ØääØäØäØØ} 
KEVÄT GEN,kevää.n,keväØä.n,k e v ä {tØhtØnhØh} {ØääØäØäØØ} n
KEVÄT GEN,kevähä.n,kevähä.n,k e v ä {tØhtØnhØh} {ØääØäØäØØ} n
KEVÄT PTV,kevät.tä,kevätØ.tä,k e v ä {tØhtØnhØh} {ØääØäØäØØ} {Øt} {aä}
KEVÄT ESS,kevää.nä,keväØä.nä,k e v ä {tØhtØnhØh} {ØääØäØäØØ} {nrs} {aä}
KEVÄT ESS,kevän.nä,kevänØ.nä,k e v ä {tØhtØnhØh} {ØääØäØäØØ} {nrs} {aä}
KEVÄT ESS,kevähä.nä,kevähä.nä,k e v ä {tØhtØnhØh} {ØääØäØäØØ} {nrs} {aä}
KEVÄT ILLseen,kevää.seen,keväØä.seen,k e v ä {tØhtØnhØh} {ØääØäØäØØ} s e {Øe} n
KEVÄT ILLseen,kevähä.sen,kevähä.seØn,k e v ä {tØhtØnhØh} {ØääØäØäØØ} s e {Øe} n
KEVÄT PL INE,kevä.i.ssä,keväØØ.i.ssä,k e v ä {tØhtØnhØh} {ØääØäØäØØ} {ij} s s {aä}
KEVÄT PL INE,keväh.i.ssä,kevähØ.i.ssä,k e v ä {tØhtØnhØh} {ØääØäØäØØ} {ij} s s {aä}
KEVÄT PL GENiden,kevä.i.den,keväØØ.i.dØen,k e v ä {tØhtØnhØh} {ØääØäØäØØ} {ij} {dt} {Øt} e n
KEVÄT PL GENiden,kevä.i.tten,keväØØ.i.tten,k e v ä {tØhtØnhØh} {ØääØäØäØØ} {ij} {dt} {Øt} e n
KEVÄT PL GENiden,keväh.i.tten,kevähØ.i.tten,k e v ä {tØhtØnhØh} {ØääØäØäØØ} {ij} {dt} {Øt} e n
KEVÄT PL GENien,keväh.i.en,kevähØ.i.en,k e v ä {tØhtØnhØh} {ØääØäØäØØ} {ij} e n
