MORPHEMES,MORPHS,ZEROFILLED,RAW
SISÄKKÖ PL GENiden,sisäkö.i.tten,sisäkØö.i.tten,s i s ä k {kØkkkØ} ö {ij} {dt} {Øt} e n
SISÄKKÖ PL GENien,sisäkkö.j.en,sisäkkö.j.en,s i s ä k {kØkkkØ} ö {ij} e n
SISÄKKÖ GENin,sisäkkö.in,sisäkkö.in,s i s ä k {kØkkkØ} ö i n
SISÄKKÖ PL PTV,sisäkkö.j.ä,sisäkkö.j.Øä,s i s ä k {kØkkkØ} ö {ij} {Øt} {aä}
SISÄKKÖ PL PTV,sisäkö.i.tä,sisäkØö.i.tä,s i s ä k {kØkkkØ} ö {ij} {Øt} {aä}
SISÄKKÖ PL ILL,sisäkkö.i.hin,sisäkkö.i.hin,s i s ä k {kØkkkØ} ö {ij} {Øh} {V} n
SISÄKKÖ PL ILL,sisäkö.i.hin,sisäkØö.i.hin,s i s ä k {kØkkkØ} ö {ij} {Øh} {V} n
AUTIO,autio,autio,a u t i o 
AUTIO GEN,autio.n,autio.n,a u t i o n
AUTIO PTV,autio.ta,autio.ta,a u t i o {Øt} {aä}
AUTIO PTV,autio.a,autio.Øa,a u t i o {Øt} {aä}
AUTIO ESS,autio.na,autio.na,a u t i o {nrs} {aä}
AUTIO ILL,autio.on,autio.Øon,a u t i o {Øh} {V} n
AUTIO ILL,autio.hon,autio.hon,a u t i o {Øh} {V} n
AUTIO PL INE,autio.i.ssa,autio.i.ssa,a u t i o {ij} s s {aä}
AUTIO PL GENiden,autio.i.den,autio.i.dØen,a u t i o {ij} {dt} {Øt} e n
AUTIO PL GENiden,autio.i.tten,autio.i.tten,a u t i o {ij} {dt} {Øt} e n
AUTIO GENin,autio.in,autio.in,a u t i o i n
AUTIO PL PTV,autio.i.ta,autio.i.ta,a u t i o {ij} {Øt} {aä}
AUTIO PL ILL,autio.i.hin,autio.i.hin,a u t i o {ij} {Øh} {V} n
HEITTIÖ,heittiö,heittiö,h e i t t i ö 
HEITTIÖ GEN,heittiö.n,heittiö.n,h e i t t i ö n
HEITTIÖ PTV,heittiö.tä,heittiö.tä,h e i t t i ö {Øt} {aä}
HEITTIÖ PTV,heittiö.ä,heittiö.Øä,h e i t t i ö {Øt} {aä}
HEITTIÖ ESS,heittiö.nä,heittiö.nä,h e i t t i ö {nrs} {aä}
HEITTIÖ ILL,heittiö.ön,heittiö.Øön,h e i t t i ö {Øh} {V} n
HEITTIÖ ILL,heittiö.hön,heittiö.hön,h e i t t i ö {Øh} {V} n
HEITTIÖ PL INE,heittiö.i.ssä,heittiö.i.ssä,h e i t t i ö {ij} s s {aä}
HEITTIÖ PL GENiden,heittiö.i.den,heittiö.i.dØen,h e i t t i ö {ij} {dt} {Øt} e n
HEITTIÖ PL GENiden,heittiö.i.tten,heittiö.i.tten,h e i t t i ö {ij} {dt} {Øt} e n
HEITTIÖ GENin,heittiö.in,heittiö.in,h e i t t i ö i n
HEITTIÖ PL PTV,heittiö.i.tä,heittiö.i.tä,h e i t t i ö {ij} {Øt} {aä}
HEITTIÖ PL ILL,heittiö.i.hin,heittiö.i.hin,h e i t t i ö {ij} {Øh} {V} n
VATI,vati,vati,v a {tdttt} {iiiie} 
VATI GEN,vadi.n,vadi.n,v a {tdttt} {iiiie} n
VATI PTV,vati.a,vati.Øa,v a {tdttt} {iiiie} {Øt} {aä}
VATI ESS,vati.na,vati.na,v a {tdttt} {iiiie} {nrs} {aä}
VATI ILL,vati.in,vati.Øin,v a {tdttt} {iiiie} {Øh} {V} n
VATI ILL,vati.hin,vati.hin,v a {tdttt} {iiiie} {Øh} {V} n
VATI PL INE,vade.i.ssa,vade.i.ssa,v a {tdttt} {iiiie} {ij} s s {aä}
VATI PL GENien,vat.i.en,vatØ.i.en,v a {tdttt} {iiiie} {ij} e n
VATI GENin,vate.in,vate.in,v a {tdttt} {iiiie} i n
VATI PL PTV,vate.j.a,vate.j.Øa,v a {tdttt} {iiiie} {ij} {Øt} {aä}
VATI PL ILL,vate.i.hin,vate.i.hin,v a {tdttt} {iiiie} {ij} {Øh} {V} n
PATTI,patti,patti,p a t {tØttt} {iiiie} 
PATTI GEN,pati.n,patØi.n,p a t {tØttt} {iiiie} n
PATTI PTV,patti.a,patti.Øa,p a t {tØttt} {iiiie} {Øt} {aä}
PATTI ESS,patti.na,patti.na,p a t {tØttt} {iiiie} {nrs} {aä}
PATTI ILL,patti.in,patti.Øin,p a t {tØttt} {iiiie} {Øh} {V} n
PATTI ILL,patti.hin,patti.hin,p a t {tØttt} {iiiie} {Øh} {V} n
PATTI PL INE,pate.i.ssa,patØe.i.ssa,p a t {tØttt} {iiiie} {ij} s s {aä}
PATTI PL GENien,patt.i.en,pattØ.i.en,p a t {tØttt} {iiiie} {ij} e n
PATTI GENin,patte.in,patte.in,p a t {tØttt} {iiiie} i n
PATTI PL PTV,patte.j.a,patte.j.Øa,p a t {tØttt} {iiiie} {ij} {Øt} {aä}
PATTI PL ILL,patte.i.hin,patte.i.hin,p a t {tØttt} {iiiie} {ij} {Øh} {V} n
PAPERI,paperi,paperi,p a p e r {iiiiee} 
PAPERI GEN,paperi.n,paperi.n,p a p e r {iiiiee} n
PAPERI PTV,paperi.a,paperi.Øa,p a p e r {iiiiee} {Øt} {aä}
PAPERI ESS,paperi.na,paperi.na,p a p e r {iiiiee} {nrs} {aä}
PAPERI ILL,paperi.in,paperi.Øin,p a p e r {iiiiee} {Øh} {V} n
PAPERI ILL,paperi.hin,paperi.hin,p a p e r {iiiiee} {Øh} {V} n
PAPERI PL INE,papere.i.ssa,papere.i.ssa,p a p e r {iiiiee} {ij} s s {aä}
PAPERI PL GENiden,papere.i.den,papere.i.dØen,p a p e r {iiiiee} {ij} {dt} {Øt} e n
PAPERI PL GENiden,papere.i.tten,papere.i.tten,p a p e r {iiiiee} {ij} {dt} {Øt} e n
PAPERI PL GENien,paper.i.en,paperØ.i.en,p a p e r {iiiiee} {ij} e n
PAPERI GENin,papere.in,papere.in,p a p e r {iiiiee} i n
PAPERI PL PTV,papere.j.a,papere.j.Øa,p a p e r {iiiiee} {ij} {Øt} {aä}
PAPERI PL PTV,papere.i.ta,papere.i.ta,p a p e r {iiiiee} {ij} {Øt} {aä}
PAPERI PL ILL,papere.i.hin,papere.i.hin,p a p e r {iiiiee} {ij} {Øh} {V} n
BANAALI,banaali,banaali,b a n a a l {iiiiee} 
BANAALI GEN,banaali.n,banaali.n,b a n a a l {iiiiee} n
BANAALI PTV,banaali.a,banaali.Øa,b a n a a l {iiiiee} {Øt} {aä}
BANAALI ESS,banaali.na,banaali.na,b a n a a l {iiiiee} {nrs} {aä}
BANAALI ILL,banaali.in,banaali.Øin,b a n a a l {iiiiee} {Øh} {V} n
BANAALI ILL,banaali.hin,banaali.hin,b a n a a l {iiiiee} {Øh} {V} n
BANAALI PL INE,banaale.i.ssa,banaale.i.ssa,b a n a a l {iiiiee} {ij} s s {aä}
BANAALI PL GENiden,banaale.i.den,banaale.i.dØen,b a n a a l {iiiiee} {ij} {dt} {Øt} e n
BANAALI PL GENiden,banaale.i.tten,banaale.i.tten,b a n a a l {iiiiee} {ij} {dt} {Øt} e n
BANAALI PL GENien,banaal.i.en,banaalØ.i.en,b a n a a l {iiiiee} {ij} e n
BANAALI GENin,banaale.in,banaale.in,b a n a a l {iiiiee} i n
BANAALI PL PTV,banaale.j.a,banaale.j.Øa,b a n a a l {iiiiee} {ij} {Øt} {aä}
